date,image,tags,temperature,cluster
2018-01-09,//image.musinsa.com/mfile_s01/_street_images/40193/5a54ac4b6bae5img_view160.jpg?,"['패딩', '휠라', '아우터', '파랑색', '스트리트', '힙합']",-4.2,3
2018-01-09,//image.musinsa.com/mfile_s01/_street_images/40168/280.street_img_view15a5f0c0924e2b.jpg?,"['항공점퍼', '블랙', '아우터', '검정색', '스트리트', '힙합']",-4.2,3
2018-01-10,//image.musinsa.com/mfile_s01/_street_images/40227/280.street_img_view15a5f0aa7d7209.jpg?,"['더플코트', '핑크', '아우터', '분홍색', '심플', '캐주얼']",-7.5,5
2018-01-10,//image.musinsa.com/mfile_s01/_street_images/40228/280.street_img_view15a6061d728ab8.jpg?20180124090446,"['패딩', '숏', '아우터', '체크', '스트리트', '힙합']",-7.5,5
2018-01-10,//image.musinsa.com/mfile_s01/_street_images/40227/280.street_img_view25a5f0ac7e2a82.jpg?,"['원피스', '체크', '상의', '체크', '심플', '캐주얼']",-7.5,5
2018-01-11,//image.musinsa.com/mfile_s01/_street_images/40267/280.street_img_view25a60726c4dfad.jpg?,"['가죽자켓', '블랙', '아우터', '검정색', '심플', '캐주얼']",-11.1,5
2018-01-11,//image.musinsa.com/mfile_s01/_street_images/40267/280.street_img_view15a6072651818f.jpg?,"['플리스자켓', '블랙', '아우터', '검정색', '심플', '캐주얼']",-11.1,5
2018-01-12,//image.musinsa.com/mfile_s01/_street_images/40282/280.street_img_view15a60730d5ebab.jpg?20180112100303,"['코트', '그레이', '아우터', '회색', '스트리트', '힙합']",-10.2,5
2018-01-14,//image.musinsa.com/mfile_s01/_street_images/40300/280.street_img_view15a6581d317326.jpg?20180122174031,"['체크자켓', '아우터', '베이지색', '체크', '심플', '캐주얼']",0.6,9
2018-01-16,//image.musinsa.com/mfile_s01/_street_images/40401/280.street_img_view15a681ea63a525.jpg?,"['롱코트', '브라운', '아우터', '갈색', '심플', '캐주얼']",3.5,9
2018-01-16,//image.musinsa.com/mfile_s01/_street_images/40344/280.street_img_view15a66c9d39ab10.jpg?,"['레더재킷', '블랙', '아우터', '검정색', '심플', '캐주얼']",3.5,9
2018-01-16,//image.musinsa.com/mfile_s01/_street_images/40374/280.street_img_view25a681ad11e893.jpg?,"['더플코트', '베이지', '아우터', '베이지색', '심플', '캐주얼']",3.5,9
2018-01-16,//image.musinsa.com/mfile_s01/_street_images/40343/280.street_img_view15a66c9f4b5822.jpg?,"['아우터', '퍼', '브라운', '아우터', '갈색', '심플', '캐주얼']",3.5,9
2018-01-17,//image.musinsa.com/mfile_s01/_street_images/40385/280.street_img_view15a682168b8b22.jpg?,"['항공점퍼', '블랙', '아우터', '검정색', '스트리트', '힙합']",4.5,0
2018-01-17,//image.musinsa.com/mfile_s01/_street_images/40427/280.street_img_view15a687f80e95ce.jpg?,"['코트', '체크', '아우터', '체크', '심플', '캐주얼']",4.5,0
2018-01-17,//image.musinsa.com/mfile_s01/_street_images/40414/280.street_img_view15a682f1727888.jpg?,"['코트', '베이지', '아우터', '베이지색', '걸리시']",4.5,0
2018-01-17,//image.musinsa.com/mfile_s01/_street_images/40386/280.street_img_view15a6821220a151.jpg?,"['퍼자켓', '아우터', '노란색', '스트리트', '힙합']",4.5,0
2018-01-18,//image.musinsa.com/mfile_s01/_street_images/40476/280.street_img_view15a69aa69668db.jpg?,"['패딩', '네이비', '아우터', '파랑색', '스트리트', '힙합']",2.1,9
