"date","image","x1","x2","label","tags","지점","평균기온..C.","최저기온..C.","최고기온..C.","cluster"
"2018-01-04","//image.musinsa.com/mfile_s01/_street_images/40063/280.street_img_view15a4f302b2eb27.jpg?20180108141813",1.12743448081322,0.0719780468024382,3,"['무톤', '프레리', '아우터', '검정색', '전문직', '프리랜서', '걸리시']",108,-4.7,-8.7,-0.7,3
"2018-01-05","//image.musinsa.com/mfile_s01/_street_images/40077/280.street_img_view15a4f379d42b47.jpg?20180105173048",0.117955873457835,0.0427910004214895,0,"['mustang', '바이바이섭', '아우터', '검정색', '모델', '걸리시']",108,-3,-5.6,1.6,3
"2018-01-05","//image.musinsa.com/mfile_s01/_street_images/40070/280.street_img_view15a5887de819ce.jpg?",0.000585618791514401,0.117516702803317,0,"['패딩', '그레이', '아우터', '회색', '섹시', '페미닌']",108,-3,-5.6,1.6,3
"2018-01-05","//image.musinsa.com/mfile_s01/_street_images/40080/280.street_img_view15a58830bedea3.jpg?",0.173061231596479,0.0843645879211426,0,"['후디', '화이트', '아우터', '흰색', '심플', '캐주얼']",108,-3,-5.6,1.6,3
"2018-01-06","//image.musinsa.com/mfile_s01/_street_images/40088/280.street_img_view15a587fdf55a8c.jpg?",0.179250846027051,0.058284603760101,0,"['재킷', '브라운', '아우터', '갈색', '심플', '캐주얼']",108,-2.8,-6.8,2.9,3
"2018-01-07","//image.musinsa.com/mfile_s01/_street_images/40101/280.street_img_view15a588ce732db6.jpg?",0.150918739009277,-0.0904512011737542,0,"['패딩', '네이비', '아우터', '파랑색', '스트리트', '힙합']",108,-0.8,-5.7,2.8,3
"2018-01-07","//image.musinsa.com/mfile_s01/_street_images/40096/280.street_img_view15a5d57aa2c007.jpg?",0.213584019764322,0.136957278221558,0,"['코트', '핑크', '아우터', '분홍색', '심플', '캐주얼']",108,-0.8,-5.7,2.8,3
"2018-01-08","//image.musinsa.com/mfile_s01/_street_images/40124/280.street_img_view15a5d607feab89.jpg?",0.170975959964625,0.156533750782785,0,"['코트', '블랙', '아우터', '검정색', '심플', '캐주얼']",108,1.3,-1.2,4,3
"2018-01-08","//image.musinsa.com/mfile_s01/_street_images/40119/280.street_img_view15a5d5d762e213.jpg?",0.191823934854466,0.155861350563057,0,"['무톤', '블랙', '아우터', '검정색', '심플', '캐주얼']",108,1.3,-1.2,4,3
"2018-01-08","//image.musinsa.com/mfile_s01/_street_images/40125/280.street_img_view15a5d6034ac7f1.jpg?",0.141107163752548,0.0870590202229525,0,"['재킷', '체크', '아우터', '체크', '심플', '캐주얼']",108,1.3,-1.2,4,3
"2018-01-08","//image.musinsa.com/mfile_s01/_street_images/40123/280.street_img_view15a5d60d394c71.jpg?",0.103902759347644,0.238334635889831,0,"['코트', '블랙', '아우터', '검정색', '심플', '캐주얼']",108,1.3,-1.2,4,3
"2018-01-09","//image.musinsa.com/mfile_s01/_street_images/40162/280.street_img_view15a5ee7d8a6149.jpg?",1.14896708489575,0.27962964583248,3,"['롱', '이지비지', '베이지', '롱코트', '아우터', '심플', '캐주얼']",108,-4.2,-6.1,-1.2,3
"2018-01-09","//image.musinsa.com/mfile_s01/_street_images/40162/280.street_img_view25a5ee7e835997.jpg?",0.213776664572864,0.235950253482241,0,"['팬츠', '베이지', '하의', '베이지색', '심플', '캐주얼']",108,-4.2,-6.1,-1.2,3
"2018-01-09","//image.musinsa.com/mfile_s01/_street_images/40201/280.street_img_view15a54ba1852706.jpg?",0.257653000427217,0.125557141886396,0,"['래더재킷', '블랙', '아우터', '검정색', '심플', '캐주얼']",108,-4.2,-6.1,-1.2,3
"2018-01-09","//image.musinsa.com/mfile_s01/_street_images/40202/280.street_img_view15a54b9c41ceca.jpg?",0.121953595930008,-0.0660187178722195,0,"['재킷', '그레이', '아우터', '회색', '섹시', '페미닌']",108,-4.2,-6.1,-1.2,3
"2018-01-09","//image.musinsa.com/mfile_s01/_street_images/40198/280.street_img_view15a54bb65e4282.jpg?",0.170184977772567,0.144968733784371,0,"['코트', '베이지', '아우터', '베이지색', '심플', '캐주얼']",108,-4.2,-6.1,-1.2,3
"2018-01-09","//image.musinsa.com/mfile_s01/_street_images/40199/280.street_img_view15a54bac577e58.jpg?",1.17746345659803,0.0553028582762182,3,"['재킷', '블랙', '아우터', '검정색', '애니멀', '심플', '캐주얼']",108,-4.2,-6.1,-1.2,3
"2018-01-09","//image.musinsa.com/mfile_s01/_street_images/40193/5a54ac4b6bae5img_view160.jpg?",0.108699532313573,0.0396759159795635,0,"['패딩', '휠라', '아우터', '파랑색', '스트리트', '힙합']",108,-4.2,-6.1,-1.2,3
"2018-01-09","//image.musinsa.com/mfile_s01/_street_images/40168/280.street_img_view15a5f0c0924e2b.jpg?",0.142507929385839,-0.00530841091435183,0,"['항공점퍼', '블랙', '아우터', '검정색', '스트리트', '힙합']",108,-4.2,-6.1,-1.2,3
"2018-01-10","//image.musinsa.com/mfile_s01/_street_images/40227/280.street_img_view15a5f0aa7d7209.jpg?",0.206983631644525,0.167977791462254,0,"['더플코트', '핑크', '아우터', '분홍색', '심플', '캐주얼']",108,-7.5,-10.3,-4.8,3
"2018-01-10","//image.musinsa.com/mfile_s01/_street_images/40228/280.street_img_view15a6061d728ab8.jpg?20180124090446",0.0671927829202693,-0.00492993406144654,0,"['패딩', '숏', '아우터', '체크', '스트리트', '힙합']",108,-7.5,-10.3,-4.8,3
"2018-01-10","//image.musinsa.com/mfile_s01/_street_images/40227/280.street_img_view25a5f0ac7e2a82.jpg?",0.228873318420314,0.0124838794792623,0,"['원피스', '체크', '상의', '체크', '심플', '캐주얼']",108,-7.5,-10.3,-4.8,3
"2018-01-11","//image.musinsa.com/mfile_s01/_street_images/40267/280.street_img_view25a60726c4dfad.jpg?",0.10814850330228,0.0924839602963209,0,"['가죽자켓', '블랙', '아우터', '검정색', '심플', '캐주얼']",108,-11.1,-13.6,-7.4,3
"2018-01-11","//image.musinsa.com/mfile_s01/_street_images/40267/280.street_img_view15a6072651818f.jpg?",0.181869616393791,0.0761895080535415,0,"['플리스자켓', '블랙', '아우터', '검정색', '심플', '캐주얼']",108,-11.1,-13.6,-7.4,3
"2018-01-12","//image.musinsa.com/mfile_s01/_street_images/40282/280.street_img_view15a60730d5ebab.jpg?20180112100303",0.106543120690152,0.0314842467639224,0,"['코트', '그레이', '아우터', '회색', '스트리트', '힙합']",108,-10.2,-15.3,-5.4,3
"2018-01-14","//image.musinsa.com/mfile_s01/_street_images/40300/280.street_img_view15a6581d317326.jpg?20180122174031",0.154217433622977,0.147715626212902,0,"['체크자켓', '아우터', '베이지색', '체크', '심플', '캐주얼']",108,0.6,-4.4,5.4,3
"2018-01-16","//image.musinsa.com/mfile_s01/_street_images/40401/280.street_img_view15a681ea63a525.jpg?",0.195038674557689,0.150195072072639,0,"['롱코트', '브라운', '아우터', '갈색', '심플', '캐주얼']",108,3.5,0.1,6.8,3
