date,image,tags,temperature,cluster
2018-03-20,//image.musinsa.com/mfile_s01/_street_images/41968/280.street_img_view15ab35b0fd7784.jpg?20180322174015,"['데님', 'skirt', '하의', '데님', '섹시', '페미닌']",4.7,0
2018-03-23,//image.musinsa.com/mfile_s01/_street_images/42310/280.street_img_view25ad5b714dee22.jpg?,"['원피스', '스트라이프', '하의', '스프라이트', '걸리시']",6.1,0
2018-03-24,//image.musinsa.com/mfile_s01/_street_images/42537/280.street_img_view25ac350ce87513.jpg?20180411182403,"['이에스씨 스튜디오', 'pants', '하의', '보라색', '스트리트', '힙합']",7.6,0
2018-03-25,//image.musinsa.com/mfile_s01/_street_images/42629/280.street_img_view15abb69af6ba60.jpg?20180328205258,"['와이드팬츠', '레드', '하의', '빨간색', '스트리트', '힙합']",9.6,4
2018-03-25,//image.musinsa.com/mfile_s01/_street_images/42613/280.street_img_view25abb79932b4bf.jpg?20180328205032,"['스커트', '옐로', '하의', '노란색', '심플', '캐주얼']",9.6,4
2018-03-26,//image.musinsa.com/mfile_s01/_street_images/42740/280.street_img_view25ab8ac3431d81.jpg?20180326172632,"['와이드팬츠', '하의', '검정색', '심플', '캐주얼']",11.0,4
2018-03-26,//image.musinsa.com/mfile_s01/_street_images/42744/280.street_img_view25ab8a9d0d494b.jpg?20180326172553,"['트랙팬츠', '하의', '흰색', '스트리트', '힙합']",11.0,4
2018-03-26,//image.musinsa.com/mfile_s01/_street_images/42750/280.street_img_view25ab8a89a3e9e4.jpg?20180326190534,"['미디스커트', '하의', '데님', '스트리트', '힙합']",11.0,4
2018-03-29,//image.musinsa.com/mfile_s01/_street_images/42795/280.street_img_view25abcbfed0f027.jpg?,"['스커트', '블루', '하의', '파랑색', '심플', '캐주얼']",15.4,8
2018-03-29,//image.musinsa.com/mfile_s01/_street_images/42793/280.street_img_view25abcc101723b1.jpg?,"['팬츠', '블랙', '하의', '검정색', '스트리트', '힙합']",15.4,8
2018-04-02,//image.musinsa.com/mfile_s01/_street_images/42925/280.street_img_view25ae0402456a7b.jpg?,"['카고팬츠', '하의', '검정색', '스트리트', '힙합']",18.4,6
2018-04-05,//image.musinsa.com/mfile_s01/_street_images/43091/280.street_img_view25ac5fc2f0e87f.jpg?,"['팬츠', '체크', '하의', '체크', '포멀', '클래식']",7.6,0
2018-04-05,//image.musinsa.com/mfile_s01/_street_images/43087/280.street_img_view25ac5fd4e563d8.jpg?,"['데님팬츠', '하의', '데님', '심플', '캐주얼']",7.6,0
